r,numerical_phi,pinn_phi
0.05061583846218687,-0.9985234376596093,-0.9970497
0.05522117123602399,-0.9982201918374212,-0.9968846
0.06952130531190703,-0.9970715412812301,-0.9962797
0.09197051616629648,-0.994587475282993,-0.9950484
0.1083765148029836,-0.9921990453375191,-0.9939301
0.11353644767419069,-0.9913412609801866,-0.9935403
0.12154474689816341,-0.9899049327762293,-0.99289906
0.14393488629755868,-0.9851800377790615,-0.990873
0.15456616528867428,-0.9825532177172438,-0.98979056
0.16587828927856152,-0.9794743434665608,-0.98855376
0.18221825651549728,-0.9744911938495928,-0.98661304
0.20584494295802447,-0.966115579117101,-0.9834851
0.23271935735825866,-0.9548187639712924,-0.9794669
0.2431596643145384,-0.9499005692765787,-0.9777746
0.2535074341545751,-0.9447256675419404,-0.9760251
0.2541912674409519,-0.944373032366098,-0.97590697
0.26511310541621813,-0.9385599989829954,-0.9739778
0.3050024993904943,-0.9143710751686993,-0.9662615
0.3142918568673425,-0.908056205211534,-0.9643146
0.34388521115218396,-0.8861824361566497,-0.9577408
0.35942273796742086,-0.873616050453873,-0.95406485
0.36886947354532795,-0.8656088129462407,-0.9517555
0.37348188749214417,-0.8615981654847067,-0.9506073
0.40728802318970136,-0.8301662175579234,-0.94179
0.40775141554763916,-0.8297105342742537,-0.94166446
0.43159911950576113,-0.8053561373803086,-0.93501747
0.45227288910538066,-0.7828170677973688,-0.92897975
0.4530400977204452,-0.7819553465228659,-0.92875063
0.4544638034145787,-0.7803514816692133,-0.9283252
0.4600264202175275,-0.7740256085047414,-0.9266503
0.46450412719997725,-0.7688650465240011,-0.92528903
0.5147875124998935,-0.7067979084543988,-0.9092152
0.516817211686077,-0.7041371926899612,-0.90853643
0.5630327568183735,-0.6404432671406083,-0.8924786
0.5755876001664428,-0.6221487158163023,-0.8879205
0.5808361216819946,-0.614380702627765,-0.8859906
0.6355835028602363,-0.5293908366203137,-0.86503667
0.6505159298527952,-0.5050473904516319,-0.8590677
0.6936130087516545,-0.4323695490365319,-0.84126306
0.7056874740042984,-0.41143163257816795,-0.8361258
0.7118864846022899,-0.40059499388595404,-0.83346343
0.7276300636419353,-0.37282662099753694,-0.8266288
0.7379656473539886,-0.35441889556750394,-0.8220856
0.7404465173409036,-0.3499810109262556,-0.8209884
0.7455064367977082,-0.3409074632752652,-0.81874305
0.7697990982879299,-0.29697156129875535,-0.807819
0.7773463696498484,-0.28321148984325184,-0.8043778
0.7845638134226596,-0.2700116068964,-0.8010664
